"","bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs upper CI","cs mean","cs lower CI","en upper CI","en mean","en lower CI","CS_Annotator_ 1","CS_Annotator_ 2","CS_Annotator_ 3","CS_Annotator_ 4","CS_Annotator_ 5","CS_Annotator_ 6","CS_Annotator_ 7","CS_Annotator_ 8","CS_Annotator_ 9","CS_Annotator_ 10","CS_Annotator_ 11","CS_Annotator_ 12","CS_Annotator_ 13","CS_Annotator_ 14","CS_Annotator_ 15","CS_Annotator_ 16","CS_Annotator_ 17","CS_Annotator_ 18","CS_Annotator_ 19","CS_Annotator_ 20","CS_Annotator_ 21","CS_Annotator_ 22","CS_Annotator_ 23","CS_Annotator_ 24","CS_Annotator_ 25"
"182","drink-ear_pití-ucho","drink-ear","drink","ear","pití-ucho","pití","ucho",2.21959716628338,1.62,1.02040283371662,2.21025124397362,1.30769230769231,0.405133371410992,4,2,1,0,1,0,0,0,1,4,1,0,1,0.5,2,3,4,4,2,2,4,1,2,0,1
"184","drink-eat_pití-jíst","drink-eat","drink","eat","pití-jíst","pití","jíst",8.42449741696632,7.752,7.07950258303368,8.49321504256364,6.86538461538461,5.23755418820559,8,7,7,9,8,8,10,9,9,7,7,9,5,9.8,5,8,8,8,8,3,10,7,9,7,8
"187","drink-mother_pít-matka","drink-mother","drink","mother","pít-matka","pít","matka",4.91527948206859,4,3.08472051793141,3.99028231291729,2.65384615384615,1.31740999477501,4,1,5,1,2,2,3,0,3,7,2,5,7,7,2,5,3,8,4,5,6,5,4,2,7
"188","drink-mouth_pití-ústa","drink-mouth","drink","mouth","pití-ústa","pití","ústa",6.49893946898917,5.692,4.88506053101083,7.09517052464896,5.96153846153846,4.82790639842796,8,3,7,7,2,2,6,3,7,7,3,7,8,8.8,3,6,5,6,6,6,7,5,7.5,6,6
"193","drug-abuse_droga-zneužívání","drug-abuse","drug","abuse","droga-zneužívání","droga","zneužívání",7.75634768083171,7.024,6.29165231916829,7.95208755603083,6.84615384615385,5.74022013627686,8,5,7,6,7,9,10,2,7,7,5,8,9,8.6,7,6,7,7,8,7,9,7,9,4,6
"194","energy-crisis_energie-krize","energy-crisis","energy","crisis","energie-krize","energie","krize",5.54610357479803,4.556,3.56589642520197,7.17528247291914,5.9375,4.69971752708086,4,4,7,2,7,6,3,0,3,7,2,8,3,7.4,3,3,5,4,4,6,8,5,8.5,4,0
"195","energy-laboratory_energie-laboratoř","energy-laboratory","energy","laboratory","energie-laboratoř","energie","laboratoř",4.44622292607529,3.624,2.80177707392471,6.39251666940491,5.09375,3.79498333059509,2,4,3,1,7,0,2,0,3,5,2,5,5,6.6,4,5,2,4,6,5,7,3,3,4,2
"196","energy-secretary_energie-tajemník","energy-secretary","energy","secretary","energie-tajemník","energie","tajemník",2.48010489560081,1.78,1.07989510439919,2.66549601537744,1.8125,0.959503984622561,0,4,0,4,0,1,5,0,3,5,1,2,3,2,2,3,3,2.5,1,3,0,0,0,0,0
"200","environment-ecology_životní prostředí-ekologie","environment-ecology","environment","ecology","životní prostředí-ekologie","životní prostředí","ekologie",8.57473504201316,7.896,7.21726495798684,9.20012457674548,8.8125,8.42487542325452,9,6,7,7,8,9,10,2,10,8,8,9,10,8.4,8,8,8,7,8,7,10,7,8,7,8
"202","equipment-maker_vybavení-výrobce","equipment-maker","equipment","maker","vybavení-výrobce","vybavení","výrobce",5.26749235434207,4.4,3.53250764565793,6.87041561544822,5.90625,4.94208438455178,8,5,2,6,5,1,2,0,3,6,3,6,6,6,2,3,5,5,5,4,8,5,6,2,6
"205","exhibit-memorabilia_exponát-memorabilia","exhibit-memorabilia","exhibit","memorabilia","exponát-memorabilia","exponát","memorabilia",6.5227934539298,5.576,4.6292065460702,6.56925342479635,5.3125,4.05574657520365,5,5,6,7,9,6,5,3,6,6,6,9,3,8.4,5,7,3,4,8,4,10,3,6,0,5
"207","experience-music_zkušenost-hudba","experience-music","experience","music","zkušenost-hudba","zkušenost","hudba",2.81813948445084,1.908,0.997860515549164,4.84276625665825,3.46875,2.09473374334175,1,4,1,5,2,0,0,0,1,7,2,7,5,3.7,0,3,1,2,2,0,0,1,0,0,0
"208","family-planning_rodina-plánování","family-planning","family","planning","rodina-plánování","rodina","plánování",7.04694409026131,6.116,5.18505590973869,7.3420429276739,6.25,5.1579570723261,7,2,5,7,5,8,10,2,7,6,3,7,8,8.9,8,5,5,6,7,5,10,5,2,7,7
"209","FBI-fingerprint_FBI-otisk prstu","FBI-fingerprint","FBI","fingerprint","FBI-otisk prstu","FBI","otisk prstu",7.49354564865858,6.94,6.38645435134142,7.62456194167886,6.9375,6.25043805832114,6,3,6,6,8,7,8,6,8,7,4,8,9,8,7,6.5,7,8,7,7,8,8,8,6,7
"211","FBI-investigation_FBI-vyšetřování","FBI-investigation","FBI","investigation","FBI-vyšetřování","FBI","vyšetřování",8.22046322049104,7.792,7.36353677950896,8.86176197575111,8.3125,7.76323802424889,9,6,7,7,8,8,10,7,9,7,7,8,9,9.3,8,7,8,7,7,8,9,8,8.5,6,7
"213","fertility-egg_plodnost-vejce","fertility-egg","fertility","egg","plodnost-vejce","plodnost","vejce",7.99555764349438,7.144,6.29244235650562,7.85951350288136,6.69230769230769,5.52510188173402,8,4,7,7,9,1,10,7,9,7,8,9,8,9.1,9,4.5,8,8,8,4,9,6,6,6,7
"215","fighting-defeating_zápas-porážka","fighting-defeating","fighting","defeating","zápas-porážka","zápas","porážka",7.59565019207696,6.88,6.16434980792304,8.10250595981668,7.40625,6.70999404018332,4,5,7,8,7,7,10,4,8,7,4,8,9,8,4,6.5,7,6,7,7,10,8,8.5,6,6
"217","five-month_pět-měsíc","five-month","five","month","pět-měsíc","pět","měsíc",3.37968254001395,2.5,1.62031745998605,4.34543394282324,3.375,2.40456605717676,1,0,0,0,1,0,0,0,4,5,4,2,3,5,4,4,3,2,5,3,7,1,5.5,0,3
"219","focus-life_zaměření-život","focus-life","focus","life","zaměření-život","zaměření","život",3.92424247938989,2.852,1.77975752061011,5.44135114132881,4.0625,2.68364885867119,5,1,0,1,6,0,0,0,6,6,1,4,5,7.3,3,1,3,3,7,2,2,1,7,0,0
"222","food-fruit_jídlo-ovoce","food-fruit","food","fruit","jídlo-ovoce","jídlo","ovoce",8.37481382476351,7.676,6.97718617523649,8.13740734355849,7.51923076923077,6.90105419490305,7,6,7,8.5,8,8,10,1,9,8,7,8,9,8.4,8,8,8,9,7,7,10,7,8,7,8
"223","food-preparation_jídlo-příprava","food-preparation","food","preparation","jídlo-příprava","jídlo","příprava",6.40210850892671,5.596,4.78989149107329,6.97839045212175,6.21875,5.45910954787825,8,2,4,6,6,6,7,2,7,7,4,8,4,7.9,7,5,4,4,7,6,9,2,6,5,6
"224","food-rooster_jídlo-kohout","food-rooster","food","rooster","jídlo-kohout","jídlo","kohout",4.48490800340587,3.46,2.43509199659413,5.76213783654392,4.42307692307692,3.08401600960992,2,4,1,8,8,2,0,0,4,4,5,7,3,3.5,1,3,5,7,6,0,5,2,4,1,1
"225","football-basketball_fotbal-basketbal","football-basketball","football","basketball","fotbal-basketbal","fotbal","basketbal",7.76192031646258,7.028,6.29407968353742,7.92834441394687,6.80769230769231,5.68704020143775,8,5,7,5,7,3,10,3,7,8,6,8,8,8.7,8,8,8,6,8,6,10,8,6,6,8
"227","football-soccer_fotbal-kopaná","football-soccer","football","soccer","fotbal-kopaná","fotbal","kopaná",9.72669113094368,9.392,9.05730886905632,9.58372550250874,9.03076923076923,8.47781295902972,9,10,9,9,10,9,10,10,10,8,9,10,10,9.9,9,9.9,9,7,9,8,10,10,10,10,10
"228","football-tennis_fotbal-tenis","football-tennis","football","tennis","fotbal-tenis","fotbal","tenis",7.80898682547569,7.112,6.41501317452431,7.70751263642666,6.63461538461539,5.56171813280411,8,5,7,6,7,4,10,3,7,8,6,8,6,8.8,8,8.5,8,5,8,6,10,8,7.5,7,8
"229","forest-graveyard_les-hřbitov","forest-graveyard","forest","graveyard","les-hřbitov","les","hřbitov",3.78123725670443,2.992,2.20276274329557,2.91714032663241,1.84615384615385,0.77516736567528,2,3,1,2,4,4,8,0,2,4,3,3,1,2.3,1,5,3,3,6,2,4,3,6.5,1,1
"230","fuck-sex_šoustání-sex","fuck-sex","fuck","sex","šoustání-sex","šoustání","sex",9.59596649618509,9.212,8.82803350381491,9.90447836661915,9.44230769230769,8.98013701799624,10,10,8,9,10,9,10,10,10,8,7,10,10,9.8,8,8.5,9,9,8,8,10,9,10,10,10
"233","furnace-stove_pec-kamna","furnace-stove","furnace","stove","pec-kamna","pec","kamna",8.95014158667941,8.556,8.16185841332059,9.44653111429595,8.78846153846154,8.13039196262712,8,8,8,7,8,8,10,8,10,8,7,9,10,9.9,9,9,7,8,8,9,10,9,9,8,9
"235","game-defeat_hra-porážka","game-defeat","game","defeat","hra-porážka","hra","porážka",7.57676991542372,7.112,6.64723008457628,7.53992238903909,6.96875,6.39757761096091,7,6,7,6,7,7,9,7,9,7,5,8,7,8.8,8,7.5,7,5,7,7,9,6,6.5,6,8
"236","game-round_hra-kolo","game-round","game","round","hra-kolo","hra","kolo",6.77959825206732,5.828,4.87640174793268,6.94389665985421,5.96875,4.99360334014579,2,4,5,6,7,3,9,6,8,6,5,7,9,8.7,9,2,2,8,5,3,7,7,4,5,8
"237","game-series_hra-série","game-series","game","series","hra-série","hra","série",4.99259052690332,4.02,3.04740947309668,7.15976093021309,6.1875,5.21523906978691,2,1,6,3,1,2,2,7,3,7,2,6,8,7,3,3.5,2,7,7,2,1,2,5,5,6
"238","game-team_hra-tým","game-team","game","team","hra-tým","hra","tým",7.94423617350667,7.31,6.67576382649333,8.28622964063244,7.6875,7.08877035936756,4,6,5,7,9,8,10,7,8,7,7,9,8,9,5,7,8,8,6,7,10,6,8.75,6,7
"239","game-victory_hra-vítězství","game-victory","game","victory","hra-vítězství","hra","vítězství",7.40747828312225,6.84,6.27252171687775,7.63465440367787,7.03125,6.42784559632213,4,7,7,7,8,8,9,7,9,7,4,8,7,8,7,7,7,5,6,6,9,5,6,6,7
"241","gem-jewel_klenot-šperk","gem-jewel","gem","jewel","klenot-šperk","klenot","šperk",9.05201986545812,8.538,8.02398013454188,9.73640986444514,8.96153846153846,8.18666705863178,8,6,8,7,10,9,10,10,9,8,8,10,10,9.7,9,9,8,7,8,6,10,9,8.75,7,9
"244","gender-equality_pohlaví-rovnost","gender-equality","gender","equality","pohlaví-rovnost","pohlaví","rovnost",7.07376284703937,6.36,5.64623715296063,7.44142462074146,6.40625,5.37107537925854,7,5,3,8,6,8,10,5,6,6,5,8,4,8,8,5,8,5,8,6,9,5,5,6,5
"246","glass-magician_sklenice-kouzelník","glass-magician","glass","magician","sklenice-kouzelník","sklenice","kouzelník",3.50507475276393,2.692,1.87892524723607,3.77651057732617,2.07692307692308,0.377335576519987,4,1,0,1,3,1,6,0,1,7,1,6,1,2.3,3,5,3,4,4,2,2,4,3,3,0
"247","glass-metal_sklo-kov","glass-metal","glass","metal","sklo-kov","sklo","kov",7.84305437619435,6.88,5.91694562380565,6.59151323876348,5.5625,4.53348676123652,8,4,7,8,2,0,10,7,8,8,5,8,6,9,8,8,8,4,8,7,10,7,8,6,8
"248","government-crisis_vláda-krize","government-crisis","government","crisis","vláda-krize","vláda","krize",6.17409530696546,5.336,4.49790469303454,7.26320221912888,6.5625,5.86179778087112,4,6,5,6,7,4,9,0,6,7,2,7,5,7.4,7,4,5,3,7,6,8,3,4,5,6
"249","governor-interview_guvernér-rozhovor","governor-interview","governor","interview","guvernér-rozhovor","guvernér","rozhovor",4.57742018197904,3.68,2.78257981802096,4.40930740590729,3.25,2.09069259409271,7,1,3,4,4,6,5,0,5,5,2,1,3,9,5,5,3,4,6,3,1,1,4,4,1
"251","governor-office_guvernér-úřad","governor-office","governor","office","guvernér-úřad","guvernér","úřad",7.33474481989538,6.492,5.64925518010462,7.43022643900443,6.34375,5.25727356099557,8,6,7,4,8,8,10,4,9.5,6,4,7,8,8.8,4,8,3,3,6,5,9,7,7,5,7
"253","grocery-money_potraviny-peníze","grocery-money","grocery","money","potraviny-peníze","potraviny","peníze",5.32300349649286,4.4,3.47699650350714,6.90488129624493,5.9375,4.97011870375507,4,2,2,6,5,3,9,0,7,6,2,6,3,7,3,5,6,5,6,3,8,3,4,1,4
"254","Harvard-Yale_Harvard-Yale","Harvard-Yale","Harvard","Yale","Harvard-Yale","Harvard","Yale",8.81978500726558,8.332,7.84421499273442,9.35751427056085,8.125,6.89248572943915,8,8,7,8,9,6,10,7,10,8,7,8,9,9.4,7,9.5,9,8.9,9,6,10,8,9.5,8,9
"255","holy-sex_svatý-sex","holy-sex","holy","sex","svatý-sex","svatý","sex",2.87325635024042,2.06,1.24674364975958,2.93330113336178,1.61538461538462,0.297468097407451,5,0,4,1,1,0,0,0,3,1,2,4,0,7,0,4,1,4,2,2,3,5,0.5,1,1
"256","hospital-infrastructure_nemocnice-infrastruktura","hospital-infrastructure","hospital","infrastructure","nemocnice-infrastruktura","nemocnice","infrastruktura",5.38847386589984,4.52,3.65152613410016,5.55560415033945,4.625,3.69439584966055,4,3,7,2,8,1,2,2,6,8,5,7,3,4,4,7,6,3,4,4,8,4,4,2,5
"257","hotel-reservation_hotel-rezervace","hotel-reservation","hotel","reservation","hotel-rezervace","hotel","rezervace",7.91039039803428,7.296,6.68160960196572,8.49240178506533,8.03125,7.57009821493467,6,6.5,7,8.5,7,8,9,4,9,7,3,8,8,8.9,7,6.5,8,7,7,8,10,7,8,7,7
"258","hundred-percent_sto-procento","hundred-percent","hundred","percent","sto-procento","sto","procento",7.5276936865675,6.504,5.4803063134325,8.40228718794461,7.375,6.34771281205539,6,3,7,1,8,4,10,0,9,7,7,8,7,9.6,7,8,7,7,5,7,10,5,8,6,6
"260","championship-tournament_šampionát-turnaj","championship-tournament","championship","tournament","šampionát-turnaj","šampionát","turnaj",8.62036564358023,8.096,7.57163435641977,8.93486791914626,8.359375,7.78388208085374,9,8,7,6,9,9,6,7,9,8,8,10,7,9.4,8,9,7,6,7,8,10,9,10,7,9
"261","chance-credibility_šance-důvěryhodnost","chance-credibility","chance","credibility","šance-důvěryhodnost","šance","důvěryhodnost",4.2892508498898,3.22,2.1507491501102,5.05654549379622,3.875,2.69345450620378,1,2,1,6,2,5,8,0,8,3,1,4,8,3,6,1,2,4,3,2,0,1,6.5,0,3
"264","change-attitude_změna-postoj","change-attitude","change","attitude","změna-postoj","změna","postoj",6.59525644975754,5.512,4.42874355024246,6.55471221235566,5.4375,4.32028778764434,3,1,5,4,8,6,10,0,8,7,7,8,5,7.8,2,6,4,6,6,4,9,1,8,6,6
"265","chord-smile_akord-úsměv","chord-smile","chord","smile","akord-úsměv","akord","úsměv",2.83565412533237,1.88,0.924345874667625,1.12306633788557,0.538461538461538,-0.0461432609624904,1,0,0,1,2,0,1,0,3,6,1,0,2,4,3,6,1,8,3,0,0,0,5,0,0
"266","image-surface_zobrazení-povrch","image-surface","image","surface","zobrazení-povrch","zobrazení","povrch",5.20108469106052,4.048,2.89491530893948,5.74554650498006,4.5625,3.37945349501994,4,2,2,2,7,8,7,0,5,5,1,5,5,8.7,1,4,2,8,4,2,8,1,7.5,2,0
"268","impartiality-interest_nestrannost-zájem","impartiality-interest","impartiality","interest","nestrannost-zájem","nestrannost","zájem",6.6163521725403,5.6,4.5836478274597,6.78335368051001,5.15625,3.52914631948999,9,8,6,7,2,5,3,2,3,6,1,6,7,9,6,4,4,4.5,8,5,10,3,6.5,6,9
"269","investigation-effort_vyšetřování-snaha","investigation-effort","investigation","effort","vyšetřování-snaha","vyšetřování","snaha",5.68380039991083,4.584,3.48419960008917,5.73337289977456,4.59375,3.45412710022544,1,3,6,7,5,3,0,0,9,6,1,7,6,6.7,6,5,4,8.4,3,5,0,3,7.5,6,6
"271","investor-earning_investor-výdělek","investor-earning","investor","earning","investor-výdělek","investor","výdělek",7.54858511981187,6.936,6.32341488018813,7.79550379900456,7.125,6.45449620099544,4,6,6,8,8,8,10,6,10,7,4,7,6,8.4,8,6,7,7,7,6,5,7,8,7,7
"274","jaguar-car_jaguár-auto","jaguar-car","jaguar","car","jaguár-auto","jaguár","auto",8.37157469385193,7.5,6.62842530614807,8.36292620228498,7.26923076923077,6.17553533617656,9,6,0,8,10,8,10,7,9,6,6,8,9,8.5,5,7,8,8,8,7,10,9,6,6,9
"276","jaguar-cat_jaguár-kočka","jaguar-cat","jaguar","cat","jaguár-kočka","jaguár","kočka",7.85214099577397,7.028,6.20385900422603,8.18192266602122,7.42307692307692,6.66423118013263,9,6,7,5,7,8,10,2,9,8,6,8,8,8.2,2,8,8,6,6,6,10,8,6.5,6,8
"277","Japanese-American_Japonec-Američan","Japanese-American","Japanese","American","Japonec-Američan","Japonec","Američan",7.84477146159901,6.836,5.82722853840099,7.55231889607373,6.5,5.44768110392627,8,5,7,7,8,2,9,0,10,8,6,8,3,6.9,9,8,8,4,8,6,10,8,7,6,9
"278","Jerusalem-Israel_Jeruzalém-Izrael","Jerusalem-Israel","Jerusalem","Israel","Jeruzalém-Izrael","Jeruzalém","Izrael",8.65621137111001,8.052,7.44778862888998,8.91411285190505,8.46153846153846,8.00896407117187,8,7,8,6,9,8,10,5,10,7,7,8,10,9.8,8,8,8,5,8,7,10,9,9.5,7,9
"279","Jerusalem-Palestinian_Jeruzalém-Palestinec","Jerusalem-Palestinian","Jerusalem","Palestinian","Jeruzalém-Palestinec","Jeruzalém","Palestinec",8.51357834782232,7.832,7.15042165217768,8.62028059000804,7.65384615384615,6.68741171768426,9,5,7,9,8,10,10,6,10,8,7,9,4,8.8,8,6.5,8,8,9,5,10,9,7.5,7,7
"281","journal-association_časopis-sdružení","journal-association","journal","association","časopis-sdružení","časopis","sdružení",4.09865064208701,3.232,2.36534935791299,6.26842728593705,4.96875,3.66907271406295,6,1.5,2,1,2,0,2,0,6,6,1,5,4,6.3,2,4,2,5,4,2,7,1,3,5,3
"284","journey-car_cesta-automobil","journey-car","journey","car","cesta-automobil","cesta","automobil",7.17377054950347,6.512,5.85022945049652,6.53719041808991,5.84615384615385,5.15511727421778,7,5,5,7,8,8,10,4,9,6,5,7,4,7.8,6,6,4,8,7,5,7,8,7,7,5
"286","journey-voyage_cesta-putování","journey-voyage","journey","voyage","cesta-putování","cesta","putování",8.9952064861124,8.6,8.2047935138876,10.0682265184202,9.28846153846154,8.50869655850283,10,6,9,8,9,10,9,8,10,9,9,9,9,8,8,8,8,7,9,8,8,9,9,8,10
"290","king-cabbage_král-kapusta","king-cabbage","king","cabbage","král-kapusta","král","kapusta",1.23533830638879,0.68,0.124661693611207,0.495769659113266,0.230769230769231,-0.0342311975748049,4,1,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,1,4,0,0,0,0,0,0
"291","king-queen_král-královna","king-queen","king","queen","král-královna","král","královna",9.10020949458784,8.776,8.45179050541216,9.08320568439859,8.57692307692308,8.07064046944756,9,7,8,9,9,9,10,8,9.5,8,8,9,10,9.9,8,9,8,9,8,9,10,9,9,8,9
"292","king-rook_král-věž","king-rook","king","rook","král-věž","král","věž",7.05752086537148,6.112,5.16647913462852,7.60918227979749,5.92307692307692,4.23697156635636,7,2,5,3,10,5,9,5,8,7,3,5,4,7.8,7,7,2,7,4,5,10,7,8,7,8
"295","lad-brother_hoch-bratr","lad-brother","lad","brother","hoch-bratr","hoch","bratr",6.42684136542301,5.5,4.57315863457699,5.66673213017261,4.46153846153846,3.25634479290431,9,4,4,6,9,9,4,2,6,3,6,1,3,4.5,4,8,6,8,7,5,6,3,6,6,8
"297","lad-wizard_chlapec-čaroděj","lad-wizard","lad","wizard","chlapec-čaroděj","chlapec","čaroděj",4.17429545245456,3.352,2.52970454754544,1.72101722473125,0.923076923076923,0.125136621422593,1,3,2,6,5,4,0,0,1,6,4,1,5,3.3,5,6,4,2,4,2,4,1,3.5,4,7
"300","law-lawyer_právo-právník","law-lawyer","law","lawyer","právo-právník","právo","právník",8.7533772415261,8.336,7.9186227584739,9.17592754865106,8.38461538461539,7.59330322057971,8,6,7,8,8,9,10,8,9.5,8,7,9,8,9.9,8,8.5,9,8,8,8,10,9,9.5,8,7
"301","lawyer-evidence_právník-důkazy","lawyer-evidence","lawyer","evidence","právník-důkazy","právník","důkazy",7.53852557179028,6.68,5.82147442820972,7.98501352816636,6.6875,5.38998647183364,5,3,6,8,8,9,10,3,8,7,6,8,7,7.8,1,6,8,7.7,6,5,9,7,8.5,6,7
"304","liability-insurance_pojištění-odpovědnosti","liability-insurance","liability","insurance","pojištění-odpovědnosti","pojištění","odpovědnosti",7.679146366793,6.802,5.924853633207,7.91473492603287,7.03125,6.14776507396713,2,4,5,5,8,9,9,7,10,4,7,8,6,9.3,9,8,7,6,7,6,10,4,8.75,5,6
"307","life-death_život-smrt","life-death","life","death","život-smrt","život","smrt",9.27911405009586,8.596,7.91288594990414,9.19286969815122,7.875,6.55713030184878,7,3,7,9,10,8,10,9,10,9,6,9,10,9.9,9,9,9,9,9,7,10,9,10,7,10
"308","life-lesson_život-lekce","life-lesson","life","lesson","život-lekce","život","lekce",6.04950878044441,5.152,4.25449121955559,7.04193148051552,5.9375,4.83306851948448,7,5,2,5,5,6,8,4,8,6,2,5,7,9.8,2,3,4,8,3,5,5,3,8,5,3
"309","life-term_život-doba","life-term","life","term","život-doba","život","doba",6.74072480073668,5.74,4.73927519926332,5.94299816380596,4.5,3.05700183619404,7,7.5,6,7.5,4,4,0,9,9,7,2,7,4,7,5,6.5,5,9,6,5,8,7,7,3,1
"314","line-insurance_linka-pojištění","line-insurance","line","insurance","linka-pojištění","linka","pojištění",2.96988980323087,2.28,1.59011019676913,3.94425342479635,2.6875,1.43074657520365,0,1,0,1,1,2,2,2,4,3,2,5,4,2,1,3,6,3,4,1,1,0,1,3,5
"318","liquid-water_kapalina-voda","liquid-water","liquid","water","kapalina-voda","kapalina","voda",8.75201929831656,8.14,7.52798070168344,8.53772698798938,7.890625,7.24352301201062,9,7,7,8,9,9,9,5,10,8,9,8,10,8.5,9,8,9,8,8,7,10,9,9,6,4
"319","listing-category_seznam-kategorie","listing-category","listing","category","seznam-kategorie","seznam","kategorie",6.89517641471743,6.12,5.34482358528257,7.58816433621526,6.375,5.16183566378474,9,4,7,4,6,8,5,7,6,7,3,8,6,2,9,7,4,6,7,7,8,3,7,6,7
"324","listing-proximity_seznam-blízkost","listing-proximity","listing","proximity","seznam-blízkost","seznam","blízkost",2.41781058877696,1.704,0.990189411223037,3.59151323876348,2.5625,1.53348676123652,3,0,3,1,2,0,0,2,4,4,1,0,2,0.6,6,3,1,3,3,0,4,0,0,0,0
"325","lobster-food_humr-jídlo","lobster-food","lobster","food","humr-jídlo","humr","jídlo",7.95892026969011,7.144,6.32907973030989,8.59609764746847,7.8125,7.02890235253153,7,6,7,8,8,7,10,0,9.5,5,7,8,10,8.6,7,6,8,7,7,7,9,8,5.5,6,7
"326","lobster-wine_humr-víno","lobster-wine","lobster","wine","humr-víno","humr","víno",5.57094610647301,4.44,3.30905389352699,6.91357398768455,5.703125,4.49267601231545,8,2,5,3,2,0,10,0,6,8,3,7,0,7,3,5,4,4,7,4,8,3,4,2,6
"327","love-sex_láska-sex","love-sex","love","sex","láska-sex","láska","sex",8.32811338827131,7.748,7.16788661172869,7.93040446805125,6.76923076923077,5.60805707041029,8,4,7,8,9,8,10,8,9,7,6,8,7,8.7,8,8.5,8,6,8,5,10,8,8.5,7,9
"328","lover-quarrel_milenec-hádka","lover-quarrel","lover","quarrel","milenec-hádka","milenec","hádka",6.77959825206732,5.828,4.87640174793268,7.22567037799155,6.1875,5.14932962200845,2,1,7,4,8,5,8,3,6,8,5,7,1,8.7,6,7,6,4,7,5,9,8,8,5,7
"330","luxury-car_luxus-auto","luxury-car","luxury","car","luxus-auto","luxus","auto",6.92655599994056,6.088,5.24944400005944,7.18013459063465,6.46875,5.75736540936535,7,4,5,4,7,7,9,0,8,6,3,6,7,9.2,7,4,6,6,7,6,9,7,6,5,7
"331","magician-wizard_kouzelník-čaroděj","magician-wizard","magician","wizard","kouzelník-čaroděj","kouzelník","čaroděj",9.55931702054616,9.172,8.78468297945384,9.81496782608628,9.01923076923077,8.22349371237526,10,9.5,9,8,9,10,6,10,10,9,8,9,9,9.9,9,9.9,9,8,9,9,10,10,10,10,9
"332","man-governor_muž-guvernér","man-governor","man","governor","muž-guvernér","muž","guvernér",6.1642004937053,5.18,4.1957995062947,6.39699582785142,5.25,4.10300417214858,7,3,3,4,3,2,9,0,9,6,4,9,5,9,5,6.5,4,5,4,4,6,3,8,5,6
"334","man-woman_muž-žena","man-woman","man","woman","muž-žena","muž","žena",9.15047291226975,8.58,8.00952708773025,9.41590583499279,8.296875,7.17784416500721,9,8,9,8.5,8,6,10,10,10,8,5,9,10,10,9,9,8,9,9,6,10,8,9,7,10
"335","Maradona-football_Maradona-fotbal","Maradona-football","Maradona","football","Maradona-fotbal","Maradona","fotbal",8.85060993631405,8.224,7.59739006368595,9.30387592426369,8.61538461538461,7.92689330650554,8,7,7,8,10,10,10,4,10,8,7,8,10,9.6,9,6,8,9,8,7,10,9,9,7,7
"336","marathon-sprint_maratón-sprint","marathon-sprint","marathon","sprint","maratón-sprint","maratón","sprint",7.99003723370462,7.348,6.70596276629538,8.09524110660947,7.46875,6.84225889339053,8,4,7,5,8,8,7,8,8,7,6,5,6,9.2,9,8,8,5.5,8,6,10,9,9,6,9
"339","Mars-scientist_Mars-vědec","Mars-scientist","Mars","scientist","Mars-vědec","Mars","vědec",6.62457588150943,5.704,4.78342411849057,6.95715596597486,5.625,4.29284403402514,4,2,7,5,8,1,10,3,8,8,3,7,6,7.6,5,6,7,7,7,3,7,7,3,6,5
"340","Mars-water_Mars-voda","Mars-water","Mars","water","Mars-voda","Mars","voda",6.14376052634386,5.232,4.32023947365614,4.31977899283685,2.9375,1.55522100716315,6,5,3,5,10,2,8,4,8,7,4,6,3,8.8,8,5,3,5,5,4,8,4,3,3,3
"342","media-gain_média-výtěžek","media-gain","media","gain","média-výtěžek","média","výtěžek",3.47589980032487,2.56,1.64410019967513,4.04041442308431,2.875,1.70958557691569,2,2,1,7,3,0,0,2,3,4,1,3,7,2,3,3,2,5,1,5,7,1,0,0,0
"345","media-radio_média-rozhlas","media-radio","media","radio","média-rozhlas","média","rozhlas",7.92773671313004,7.152,6.37626328686996,8.20171534577031,7.42307692307692,6.64443850038354,3,5,7,9,7,8,10,2,9.5,8,6,8,6,7.3,8,8,8,6,7,7,10,8,7,6,8
"346","media-trading_média-obchodování","media-trading","media","trading","média-obchodování","média","obchodování",4.20145625787029,3.32,2.43854374212971,5.11897976648299,3.875,2.63102023351701,4,4,2,7,1,1,0,0,4,6,1,6,5,6,2,5,6,5,4,2,4,3,3,2,0
"348","Mexico-Brazil_Mexiko-Brazílie","Mexico-Brazil","Mexico","Brazil","Mexiko-Brazílie","Mexiko","Brazílie",7.63252482290256,6.644,5.65547517709744,8.35465818231179,7.4375,6.52034181768821,8,4,7,4,7,1,10,3,9,8,6,8,3,8.6,7,8,9,5,9,5,10,8,4.5,6,8
"351","midday-noon_poledne-dvanáctá","midday-noon","midday","noon","poledne-dvanáctá","poledne","dvanáctá",9.28010510102478,8.792,8.30389489897522,10.0682265184202,9.28846153846154,8.50869655850283,9,6,8,8,9,9,10,10,9,8,7,10,10,9.8,7,9,8,9,9,8,10,10,10,7,10
"352","mile-kilometer_míle-kilometr","mile-kilometer","mile","kilometer","míle-kilometr","míle","kilometr",8.49895226342096,8.016,7.53304773657904,9.01658936510429,8.65625,8.29591063489571,9,7,8,7,7,9,9,6,9,7,6,8,9,9.9,8,9,7,7,8,7,10,8,9.5,7,9
